,fluxes,equ,ec-code,kcat_MW,E
rxn00001_num1,0.655310802207226,h2o_c + ppi_c --> h_c + 2.0 pi_c,,,
rxn00006,0.0,2.0 h2o2_c --> 2.0 h2o_c + o2_c,,,
rxn00011_num1,0.0,h_c + pyr_c + thmpp_c --> 2ahethmpp_c + co2_c,1.2.4.1,67.04362669467878,0.0
rxn00014,0.0,2.0 focytc_c + h2o2_c + 2.0 h_c --> 2.0 ficytc_c + 2.0 h2o_c,,,
rxn00029,0.0,2.0 5aop_c --> 2.0 h2o_c + h_c + ppbng_c,4.2.1.24,,
rxn00048,1.932367748441763e-05,2.0 dmlz_c + h_c --> 4r5au_c + ribflv_c,2.5.1.9,,
rxn00055_num1,0.0,3.0 amet_c --> 3.0 5mta_c + cpd03158_c0 + 4.0 h_c,2.5.1.43,,
rxn00060,0.0,h2o_c + 4.0 ppbng_c --> hmbil_c + 4.0 nh4_c,2.5.1.61,,
rxn00063,0.0,atp_c + h2o_c --> amp_c + 2.0 h_c + ppi_c,,,
rxn00077,0.0,atp_c + nad_c --> adp_c + h_c + nadp_c,2.7.1.23,3391.3178187827043,0.0
rxn00085_reverse,2.2068159952180597,akg_c + gln__L_c + h_c + nadph_c --> 2.0 glu__L_c + nadp_c,1.4.1.13,,
rxn00086_reverse,0.0,gthox_c + h_c + nadph_c --> 2.0 gthrd_c + nadp_c,1.8.1.7,,
rxn00097_num1,0.0,amp_c + atp_c + h_c --> 2.0 adp_c,,479017.75980688847,0.0
rxn00100,0.0,atp_c + dpcoa_c --> adp_c + coa_c,2.7.1.24,894.3920662953403,0.0
rxn00102,0.0,h2co3_c + h_c --> co2_c + h2o_c,,,
rxn00105,0.0,atp_c + nmn_c --> nad_c + ppi_c,2.7.7.1,,
rxn00109,0.0,h2o_c + nad_c + nh4_c --> 2.0 h_c + ham_c + nadh_c,1.7.1.10,,
rxn00113_reverse,0.0,2.0 adp_c + cbp_c + 3.0 h_c + pi_c --> 2.0 atp_c + co2_c + h2o_c + nh4_c,,49124.27506331472,0.0
rxn00119,0.17004763669922152,atp_c + h_c + ump_c --> adp_c + udp_c,,74414.76732246095,2.285132948979809e-06
rxn00122,7.102250583998576e-06,atp_c + fmn_c --> fad_c + ppi_c,2.7.7.2,,
rxn00124,0.0,atp_c + pydx_c --> adp_c + h_c + pydx5p_c,2.7.1.35,92.50367466927976,0.0
rxn00126,0.013151529583368075,atp_c + h2o_c + met__L_c --> amet_c + h_c + pi_c + ppi_c,2.5.1.6,29.934129925214865,0.0004393489844610432
rxn00127,0.0,amet_c + h_c --> ametam_c + co2_c,4.1.1.50,,
