,fluxes,equ,ec-code,kcat_MW,E
rxn00001_num1,0.08757270671552422,h2o_c + ppi_c --> h_c + 2.0 pi_c,,,
rxn00006,0.0,2.0 h2o2_c --> 2.0 h2o_c + o2_c,,,
rxn00011_num1,0.0,h_c + pyr_c + thmpp_c --> 2ahethmpp_c + co2_c,1.2.4.1,241.0987200013161,0.0
rxn00014,0.0,2.0 focytc_c + h2o2_c + 2.0 h_c --> 2.0 ficytc_c + 2.0 h2o_c,,,
rxn00029,0.0,2.0 5aop_c --> 2.0 h2o_c + h_c + ppbng_c,4.2.1.24,,
rxn00048,2.582024232299279e-06,2.0 dmlz_c + h_c --> 4r5au_c + ribflv_c,2.5.1.9,12635.607661764454,2.04345077927081e-10
rxn00055_num1,0.0,3.0 amet_c --> 3.0 5mta_c + cpd03158_c0 + 4.0 h_c,2.5.1.43,,
rxn00060,0.0,h2o_c + 4.0 ppbng_c --> hmbil_c + 4.0 nh4_c,2.5.1.61,260.92615688896177,0.0
rxn00063,0.0,atp_c + h2o_c --> amp_c + 2.0 h_c + ppi_c,,,
rxn00077,1.0029511249401358e-06,atp_c + nad_c --> adp_c + h_c + nadp_c,2.7.1.23,,
rxn00085_reverse,0.29488803337609687,akg_c + gln__L_c + h_c + nadph_c --> 2.0 glu__L_c + nadp_c,1.4.1.13,167.17230573603885,0.0017639765873763693
rxn00086_reverse,0.0,gthox_c + h_c + nadph_c --> 2.0 gthrd_c + nadp_c,1.8.1.7,6230.384807870452,0.0
rxn00097_num1,0.06805433245634297,amp_c + atp_c + h_c --> 2.0 adp_c,,,
rxn00100,9.726929259402069e-07,atp_c + dpcoa_c --> adp_c + coa_c,2.7.1.24,53.87952310399962,1.805310941714704e-08
rxn00102,0.0,h2co3_c + h_c --> co2_c + h2o_c,,,
rxn00105,0.0,atp_c + nmn_c --> nad_c + ppi_c,2.7.7.1,4671.053634187932,0.0
rxn00109,0.0,h2o_c + nad_c + nh4_c --> 2.0 h_c + ham_c + nadh_c,1.7.1.10,,
rxn00113_reverse,0.0,2.0 adp_c + cbp_c + 3.0 h_c + pi_c --> 2.0 atp_c + co2_c + h2o_c + nh4_c,,221.7140235690316,0.0
rxn00119,0.022724289341469497,atp_c + h_c + ump_c --> adp_c + udp_c,,,
rxn00122,9.490006820147826e-07,atp_c + fmn_c --> fad_c + ppi_c,2.7.7.2,,
rxn00124,0.0,atp_c + pydx_c --> adp_c + h_c + pydx5p_c,2.7.1.35,2977.840112201959,0.0
rxn00126,0.0017573036034905978,atp_c + h2o_c + met__L_c --> amet_c + h_c + pi_c + ppi_c,2.5.1.6,269.53059735911955,6.519866837786828e-06
rxn00127,0.0,amet_c + h_c --> ametam_c + co2_c,4.1.1.50,,
rxn00134,0.00037878368731061965,adn_c + atp_c --> adp_c + amp_c + h_c,2.7.1.20,137.57618622531098,2.753264919629905e-06
rxn00137,0.0036636523824344048,h2o_c + pap_c --> amp_c + pi_c,3.1.3.7,9855.926500909329,3.7172074914483063e-07
rxn00138,2.125469617174008e-06,atp_c + dnad_c + nh4_c --> amp_c + 2.0 h_c + nad_c + ppi_c,6.3.1.5,239.87070682722364,8.860896961065619e-09
rxn00139_reverse,0.0012797284393704846,ade_c + prpp_c --> amp_c + h_c + ppi_c,2.4.2.7,,
rxn00141_num1,0.0,ahcys_c + h2o_c --> adn_c + hcys__L_c,3.3.1.1,231.23552824779557,0.0
rxn00148_reverse,7.929753467922078,adp_c + h_c + pep_c --> atp_c + pyr_c,2.7.1.40,1393.2391500089152,0.0056915953502105765
rxn00154,0.049900815875947385,coa_c + nad_c + pyr_c --> accoa_c + co2_c + nadh_c,1.2.1.104,300.33560483195885,0.0001661501835716996
rxn00157_reverse_num1,0.0,coa_c + pyr_c --> accoa_c + for_c,2.3.1.54,124.29955940348908,0.0
rxn00159,0.0,mal__L_c + nad_c --> co2_c + nadh_c + pyr_c,,696.13255697954,0.0
rxn00165,0.0,ser__L_c --> nh4_c + pyr_c,4.3.1.17,,
rxn00168,0.0,h_c + pyr_c --> acald_c + co2_c,4.1.1.1,241.0987200013161,0.0
rxn00179,0.007960296204677997,atp_c + glu__L_c --> adp_c + glu5p_c,2.7.2.11,583.2580588808471,1.3647983227102214e-05
rxn00187,0.36486737455739837,atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c,6.3.1.2,78.30506834868146,0.004659562685427912
rxn00189,0.0,gln__L_c + h2o_c --> glu__L_c + nh4_c,,73.41573461585133,0.0
rxn00190,0.0,atp_c + dnad_c + gln__L_c + h2o_c --> amp_c + glu__L_c + 2.0 h_c + nad_c + ppi_c,6.3.5.1,385.0683736745677,0.0
rxn00192_num1,0.0,accoa_c + glu__L_c --> acglu_c + coa_c + h_c,2.3.1.1,1382.1610432370385,0.0
rxn00193_num1,0.0004339946371034283,glu__L_c --> glu__D_c,5.1.1.3,,
rxn00194,0.0,glu__L_c + h_c --> 4abut_c + co2_c,4.1.1.15,202.18607685060584,0.0
rxn00198,0.0,icit_c + nadp_c --> akg_c + co2_c + nadph_c,1.1.1.41,1010.2033308510825,0.0
rxn00199,0.0,cpd03187_c0 + h_c --> akg_c + co2_c,,,
rxn00202,0.0,accoa_c + akg_c + h2o_c --> coa_c + h_c + hcit_c,2.3.3.14,198.06785313907253,0.0
rxn00206,0.0,2.0 h_c + 2.0 o2s_c --> h2o2_c + o2_c,,,
rxn00208,0.0,h2o_c + o2_c + pyam5p_c --> h2o2_c + nh4_c + pydx5p_c,1.4.3.5,9.782388899929188,0.0
rxn00209,0.0,o2_c + pdx5p_c --> h2o2_c + pydx5p_c,1.4.3.5,36.75200281470941,0.0
rxn00211,0.0,h2o_c + 2.0 nad_c + udpg_c --> 3.0 h_c + 2.0 nadh_c + udpglcur_c,1.1.1.22,103.41585872622244,0.0
rxn00213,0.0009063781443679022,g1p_c + utp_c --> ppi_c + udpg_c,,635.6618893657383,1.425880896009487e-06
rxn00214,0.0009063781443679023,udpg_c --> udpgal_c,5.1.3.2,,
rxn00216,8.186488610542327,atp_c + glc__D_c --> adp_c + g6p_c + h_c,"2.7.1.1,2.7.1.2",355.1140920521985,0.023053122345082798
rxn00224,0.0,fe2_c + ppp9_c --> 2.0 h_c + pheme_c,,,
rxn00231,0.0,ad_c + h2o_c --> ac_c + nh4_c,3.5.1.4,93.915821363279,0.0
rxn00237,0.011089460255885262,atp_c + gdp_c --> adp_c + gtp_c,,,
rxn00239,0.004577098708124398,atp_c + gmp_c + h_c --> adp_c + gdp_c,2.7.4.8,,
rxn00242,0.0,h2o_c + ppgpp_c --> gdp_c + ppi_c,3.1.7.2,20.424429941788496,0.0
rxn00251_reverse,0.12221404630588441,co2_c + h2o_c + pep_c --> h_c + oaa_c + pi_c,,11.062670932111631,0.011047426706974851
rxn00256_num1,0.027173655113289532,accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c,,3883.330108671021,6.997513565126473e-06
rxn00259_num1,0.0,cpd00442_c0 --> accoa_c + oaa_c,4.1.3.34,,
rxn00260_num1,0.0,akg_c + asp__L_c --> glu__L_c + oaa_c,,1428.4817809759409,0.0
rxn00262,0.0,asp__L_c + h2o_c + o2_c --> h2o2_c + nh4_c + oaa_c,,630.4401744713417,0.0
rxn00272,0.0,ala__L_c + glx_c --> gly_c + pyr_c,2.6.1.44,,
rxn00279,0.0,asp__L_c + h_c --> ala__L_c + co2_c,4.1.1.12,1771.745283252686,0.0
rxn00283_num1,0.0008679892742068565,ala__L_c --> ala__D_c,5.1.1.1,,
rxn00285,0.009350461189793664,atp_c + coa_c + succ_c --> adp_c + pi_c + succoa_c,,105.50204363747947,8.862824706906363e-05
rxn00293,0.0013969161793730151,acgam1p_c + utp_c --> ppi_c + uacgam_c,,,
rxn00299,1.676922428821231e-06,gtp_c + h2o_c --> ahdt_c + for_c + 2.0 h_c,3.5.4.16,,
rxn00300_num1,2.582024232299279e-06,gtp_c + 3.0 h2o_c --> 25drapp_c + for_c + 3.0 h_c + ppi_c,3.5.4.25,,
rxn00301,0.0,gtp_c + h2o_c --> gmp_c + 2.0 h_c + ppi_c,,,
rxn00302,0.0,gtp_c + h2o_c --> cpd03518_c0 + h_c,,,
