,fluxes,kcat_MW,E,equ,ec-code
rxn00001_num1,11.290830801359894,40733.15138009905,0.00027719021040135483,cpd00001_c0 + cpd00012_c0 --> 2.0 cpd00009_c0 + cpd00067_c0,
rxn00006,1.6750331003069878e-30,87453.37008559227,1.9153442556502982e-35,2.0 cpd00025_c0 --> 2.0 cpd00001_c0 + cpd00007_c0,
rxn00011_num1,0.14533627169859137,156.89092426058787,0.0009263523201456523,cpd00020_c0 + cpd00056_c0 + cpd00067_c0 --> cpd00011_c0 + cpd03049_c0,1.2.4.1
rxn00014,-2.387062758394735e-30,89663.75371009711,-2.6622382619766743e-35,cpd00025_c0 + 2.0 cpd00067_c0 + 2.0 cpd00110_c0 --> 2.0 cpd00001_c0 + 2.0 cpd00109_c0,
rxn00029,0.0,3150.4792405578173,0.0,2.0 cpd00338_c0 --> 2.0 cpd00001_c0 + cpd00067_c0 + cpd00689_c0,4.2.1.24
rxn00048,7.761876671818336e-06,96.74187941288224,8.023284971229075e-08,cpd00067_c0 + 2.0 cpd02656_c0 --> cpd00220_c0 + cpd02882_c0,2.5.1.9
rxn00055_num1,0.0,,,3.0 cpd00017_c0 --> 4.0 cpd00067_c0 + 3.0 cpd00147_c0 + cpd03158_c0,2.5.1.43
rxn00060,0.0,26.825488021647587,0.0,cpd00001_c0 + 4.0 cpd00689_c0 --> 4.0 cpd00013_c0 + cpd00755_c0,2.5.1.61
rxn00063,10.9846529420044,154443.4676378948,7.112410197729312e-05,cpd00001_c0 + cpd00002_c0 --> cpd00012_c0 + cpd00018_c0 + 2.0 cpd00067_c0,
rxn00077,3.0149922074507174e-06,3391.400233731236,8.890110277941473e-10,cpd00002_c0 + cpd00003_c0 --> cpd00006_c0 + cpd00008_c0 + cpd00067_c0,2.7.1.23
rxn00085_reverse,0.9745938345296766,,,cpd00005_c0 + cpd00024_c0 + cpd00053_c0 + cpd00067_c0 --> cpd00006_c0 + 2.0 cpd00023_c0,1.4.1.13
rxn00086_reverse,0.0,,,cpd00005_c0 + cpd00067_c0 + cpd00111_c0 --> cpd00006_c0 + 2.0 cpd00042_c0,1.8.1.7
rxn00097_num1,11.23215621111436,194667.2430496053,5.7699261751255034e-05,cpd00002_c0 + cpd00018_c0 + cpd00067_c0 --> 2.0 cpd00008_c0,
rxn00100,2.924032406882368e-06,810.1953280792907,3.6090462454458936e-09,cpd00002_c0 + cpd00655_c0 --> cpd00008_c0 + cpd00010_c0,2.7.1.24
rxn00102,0.0,204718.36178005947,0.0,cpd00067_c0 + cpd00242_c0 --> cpd00001_c0 + cpd00011_c0,
rxn00105,0.0,1021.160786666279,0.0,cpd00002_c0 + cpd00355_c0 --> cpd00003_c0 + cpd00012_c0,2.7.7.1
