,fluxes,kcat_MW,E,equ,ec-code
rxn00001_num1,0.0,40733.15138009905,0.0,h2o_c + ppi_c --> h_c + 2.0 pi_c,
rxn00006,0.0,87453.37008559227,0.0,2.0 h2o2_c --> 2.0 h2o_c + o2_c,
rxn00011_num1,0.0,156.89092426058787,0.0,h_c + pyr_c + thmpp_c --> 2ahethmpp_c + co2_c,1.2.4.1
rxn00014,0.0,89663.75371009711,0.0,2.0 focytc_c + h2o2_c + 2.0 h_c --> 2.0 ficytc_c + 2.0 h2o_c,
rxn00029,0.0,3150.4792405578173,0.0,2.0 5aop_c --> 2.0 h2o_c + h_c + ppbng_c,4.2.1.24
rxn00048,6.327813300448457e-06,96.74187941288224,6.540924508445966e-08,2.0 dmlz_c + h_c --> 4r5au_c + ribflv_c,2.5.1.9
rxn00055_num1,0.0,,,3.0 amet_c --> 3.0 5mta_c + cpd03158_c0 + 4.0 h_c,2.5.1.43
rxn00060,0.0,26.825488021647587,0.0,h2o_c + 4.0 ppbng_c --> hmbil_c + 4.0 nh4_c,2.5.1.61
rxn00063,0.0,154443.4676378948,0.0,atp_c + h2o_c --> amp_c + 2.0 h_c + ppi_c,
rxn00077,0.0,3391.400233731236,0.0,atp_c + nad_c --> adp_c + h_c + nadp_c,2.7.1.23
rxn00085_reverse,1.1426076002445318,,,akg_c + gln__L_c + h_c + nadph_c --> 2.0 glu__L_c + nadp_c,1.4.1.13
rxn00086_reverse,0.0,,,gthox_c + h_c + nadph_c --> 2.0 gthrd_c + nadp_c,1.8.1.7
rxn00097_num1,0.26364791356362516,194667.2430496053,1.354351710300033e-06,amp_c + atp_c + h_c --> 2.0 adp_c,
rxn00100,0.0,810.1953280792907,0.0,atp_c + dpcoa_c --> adp_c + coa_c,2.7.1.24
rxn00102,0.0,204718.36178005947,0.0,h2co3_c + h_c --> co2_c + h2o_c,
rxn00105,0.0,1021.160786666279,0.0,atp_c + nmn_c --> nad_c + ppi_c,2.7.7.1
rxn00109,0.0,,,h2o_c + nad_c + nh4_c --> 2.0 h_c + ham_c + nadh_c,1.7.1.10
rxn00113_reverse,0.0,,,2.0 adp_c + cbp_c + 3.0 h_c + pi_c --> 2.0 atp_c + co2_c + h2o_c + nh4_c,
rxn00119,0.08805888743293276,30241.56135791392,2.9118499005637025e-06,atp_c + h_c + ump_c --> adp_c + udp_c,
rxn00122,0.0,46.54800142653907,0.0,atp_c + fmn_c --> fad_c + ppi_c,2.7.7.2
rxn00124,0.0,92.50537430256544,0.0,atp_c + pydx_c --> adp_c + h_c + pydx5p_c,2.7.1.35
rxn00126,0.0068093868659497014,29.93444892586649,0.00022747660672870046,atp_c + h2o_c + met__L_c --> amet_c + h_c + pi_c + ppi_c,2.5.1.6
rxn00127,0.0,,,amet_c + h_c --> ametam_c + co2_c,4.1.1.50
rxn00134,0.001448901975036942,1091.8446338356753,1.3270221148103428e-06,adn_c + atp_c --> adp_c + amp_c + h_c,2.7.1.20
rxn00137,0.014192540732505879,880.8294498770617,1.6112700062976716e-05,h2o_c + pap_c --> amp_c + pi_c,3.1.3.7
rxn00138,0.0,18.5071893287416,0.0,atp_c + dnad_c + nh4_c --> amp_c + 2.0 h_c + nad_c + ppi_c,6.3.1.5
rxn00139_reverse,0.004958827836989812,,,ade_c + prpp_c --> amp_c + h_c + ppi_c,2.4.2.7
rxn00141_num1,0.0,44921.609121711066,0.0,ahcys_c + h2o_c --> adn_c + hcys__L_c,3.3.1.1
rxn00148_reverse,20.111202310766124,,,adp_c + h_c + pep_c --> atp_c + pyr_c,2.7.1.40
rxn00154,0.0,751.7768950636593,0.0,coa_c + nad_c + pyr_c --> accoa_c + co2_c + nadh_c,1.2.1.104
rxn00157_reverse_num1,0.39618983016066084,,,coa_c + pyr_c --> accoa_c + for_c,2.3.1.54
rxn00159,0.0,77182.51758580432,0.0,mal__L_c + nad_c --> co2_c + nadh_c + pyr_c,
rxn00165,0.0,14480.823961471962,0.0,ser__L_c --> nh4_c + pyr_c,4.3.1.17
rxn00168,40.2781454667115,100000.0,0.000402781454667115,h_c + pyr_c --> acald_c + co2_c,4.1.1.1
rxn00179,0.030845402193186596,1037.448993943717,2.9731969834904484e-05,atp_c + glu__L_c --> adp_c + glu5p_c,2.7.2.11
rxn00187,1.4137446977961723,959.1473828398592,0.001473959813777872,atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c,6.3.1.2
rxn00189,0.0,87354.91679752941,0.0,gln__L_c + h2o_c --> glu__L_c + nh4_c,
rxn00190,0.0,56.30666243880194,0.0,atp_c + dnad_c + gln__L_c + h2o_c --> amp_c + glu__L_c + 2.0 h_c + nad_c + ppi_c,6.3.5.1
rxn00192_num1,0.0,91.81131471060267,0.0,accoa_c + glu__L_c --> acglu_c + coa_c + h_c,2.3.1.1
rxn00193_num1,0.0016816885687337075,573349.8703492099,2.9330931351034272e-09,glu__L_c --> glu__D_c,5.1.1.3
rxn00194,0.0,1566.381457844267,0.0,glu__L_c + h_c --> 4abut_c + co2_c,4.1.1.15
rxn00198,0.0,1941.847288,0.0,icit_c + nadp_c --> akg_c + co2_c + nadph_c,1.1.1.41
rxn00199,0.0,103022.30699101952,0.0,cpd03187_c0 + h_c --> akg_c + co2_c,
rxn00202,0.0,186.89296009297192,0.0,accoa_c + akg_c + h2o_c --> coa_c + h_c + hcit_c,2.3.3.14
rxn00206,0.0,206864.99341074363,0.0,2.0 h_c + 2.0 o2s_c --> h2o2_c + o2_c,
rxn00208,0.0,533.2442630131612,0.0,h2o_c + o2_c + pyam5p_c --> h2o2_c + nh4_c + pydx5p_c,1.4.3.5
rxn00209,0.0,20.669499295922392,0.0,o2_c + pdx5p_c --> h2o2_c + pydx5p_c,1.4.3.5
rxn00211,0.0,938.6113750950252,0.0,h2o_c + 2.0 nad_c + udpg_c --> 3.0 h_c + 2.0 nadh_c + udpglcur_c,1.1.1.22
rxn00213,0.0035121304136537484,150605.81098733822,2.33200192650536e-08,g1p_c + utp_c --> ppi_c + udpg_c,
rxn00214,0.0035121304136537484,,,udpg_c --> udpgal_c,5.1.3.2
rxn00216,21.105921329953517,13037.273997621154,0.0016188906771311708,atp_c + glc__D_c --> adp_c + g6p_c + h_c,"2.7.1.1,2.7.1.2"
rxn00224,0.0,127581.84205761355,0.0,fe2_c + ppp9_c --> 2.0 h_c + pheme_c,
rxn00231,0.0,76605.12637112121,0.0,ad_c + h2o_c --> ac_c + nh4_c,3.5.1.4
rxn00237,0.04296361154897635,194667.2430496053,2.2070283051179965e-07,atp_c + gdp_c --> adp_c + gtp_c,
rxn00239,0.01772565357462567,48655.4919127607,3.643094104650667e-07,atp_c + gmp_c + h_c --> adp_c + gdp_c,2.7.4.8
rxn00242,0.0,116.88101010616047,0.0,h2o_c + ppgpp_c --> gdp_c + ppi_c,3.1.7.2
rxn00251_reverse,0.473542494488204,,,co2_c + h2o_c + pep_c --> h_c + oaa_c + pi_c,
rxn00256_num1,0.10528887043036125,100428.80648524567,1.048393126585942e-06,accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c,
rxn00259_num1,0.0,,,cpd00442_c0 --> accoa_c + oaa_c,4.1.3.34
rxn00260_num1,0.0,109308.68503159974,0.0,akg_c + asp__L_c --> glu__L_c + oaa_c,
rxn00262,0.0,81929.49312626667,0.0,asp__L_c + h2o_c + o2_c --> h2o2_c + nh4_c + oaa_c,
rxn00272,0.0,,,ala__L_c + glx_c --> gly_c + pyr_c,2.6.1.44
rxn00279,0.0,9033.865570916048,0.0,asp__L_c + h_c --> ala__L_c + co2_c,4.1.1.12
rxn00283_num1,0.0,7613.113909728704,0.0,ala__L_c --> ala__D_c,5.1.1.1
rxn00285,0.03623216130091664,33062.095290988866,1.0958821872003913e-06,atp_c + coa_c + succ_c --> adp_c + pi_c + succoa_c,
rxn00293,0.005412919353127667,32414.17454709285,1.6699235531244275e-07,acgam1p_c + utp_c --> ppi_c + uacgam_c,
rxn00299,0.0,113.78290152528932,0.0,gtp_c + h2o_c --> ahdt_c + for_c + 2.0 h_c,3.5.4.16
rxn00300_num1,6.32781330044846e-06,7286.627143526965,8.684145868599491e-10,gtp_c + 3.0 h2o_c --> 25drapp_c + for_c + 3.0 h_c + ppi_c,3.5.4.25
rxn00301,0.0,154443.4676378948,0.0,gtp_c + h2o_c --> gmp_c + 2.0 h_c + ppi_c,
rxn00302,0.0,20930.3027039147,0.0,gtp_c + h2o_c --> cpd03518_c0 + h_c,
rxn00303,0.0,519.5706623208667,0.0,atp_c + gtp_c --> amp_c + gdptp_c + 2.0 h_c,2.7.6.5
rxn00305,0.0,3258.535500097878,0.0,gtp_c + oaa_c --> co2_c + gdp_c + pep_c,4.1.1.32
rxn00313,0.03455047273218293,725.396135729057,4.762979981614885e-05,26dap__M_c + h_c --> co2_c + lys__L_c,4.1.1.20
rxn00314_num1,0.0,,,cpd02490_c0 + h2o_c + nadp_c --> h_c + lys__L_c + nadph_c + pyr_c,1.5.1.16
rxn00322,0.0,1520.319695196556,0.0,h_c + lys__L_c --> 15dap_c + co2_c,4.1.1.18
rxn00328,0.0,546.8462615810917,0.0,4h2oglt_c --> glx_c + pyr_c,4.1.3.16
rxn00337_num1,0.0,1656.509236904962,0.0,asp__L_c + atp_c --> 4pasp_c + adp_c,2.7.2.4
rxn00338,0.0,123.0136962650722,0.0,asp__L_c + o2_c --> h2o2_c + iasp_c,1.4.3.16
rxn00342,0.0,123380.36134790708,0.0,asn__L_c + h2o_c --> asp__L_c + nh4_c,
rxn00346,0.0,227.5120396623713,0.0,asp__L_c + h_c --> ala_B_c + co2_c,4.1.1.11
rxn00351,0.0,2842.059472836711,0.0,atp_c + glucys_c + gly_c --> adp_c + gthrd_c + h_c + pi_c,6.3.2.3
rxn00361,0.014192540732505877,6658.514123769022,2.1314876665715103e-06,aps_c + atp_c --> adp_c + h_c + paps_c,2.7.1.25
rxn00364,0.043802262497179334,208921.80520088537,2.0965864455872367e-07,atp_c + cmp_c + h_c --> adp_c + cdp_c,
rxn00367,0.0,154443.4676378948,0.0,ctp_c + h2o_c --> cmp_c + 2.0 h_c + ppi_c,
rxn00379_num1,0.014192540732505877,595.3122348402653,2.384049898842417e-05,atp_c + so4_c --> aps_c + ppi_c,2.7.7.4
rxn00392,6.327813300448457e-06,381.1972591962686,1.659983944740387e-08,atp_c + ribflv_c --> adp_c + fmn_c,2.7.1.26
rxn00394,0.0,36766.41155709291,0.0,arg__L_c + h2o_c --> orn__L_c + urea_c,3.5.3.1
rxn00405,0.0,109959.12260260954,0.0,arg__L_c + h_c --> agm_c + co2_c,
rxn00407,0.0,15007.686700578342,0.0,ctp_c + h2o_c + h_c --> nh4_c + utp_c,3.5.4.13
rxn00409,0.04380226249717934,194667.2430496053,2.2501095618854377e-07,atp_c + cdp_c --> adp_c + ctp_c,
rxn00410_num1,0.0,19963.956886080374,0.0,atp_c + nh4_c + utp_c --> adp_c + ctp_c + 2.0 h_c + pi_c,
