,fluxes,equ,ec-code,kcat_MW,E
rxn00001_num1,0.0712395365267365,h2o_c + ppi_c --> h_c + 2.0 pi_c,,,
rxn00006,0.0,2.0 h2o2_c --> 2.0 h2o_c + o2_c,,,
rxn00011_num1,0.0,h_c + pyr_c + thmpp_c --> 2ahethmpp_c + co2_c,1.2.4.1,43.70464382,0.0
rxn00014,0.0,2.0 focytc_c + h2o2_c + 2.0 h_c --> 2.0 ficytc_c + 2.0 h2o_c,,647.4157856,0.0
rxn00029,0.0,2.0 5aop_c --> 2.0 h2o_c + h_c + ppbng_c,4.2.1.24,,
rxn00048,2.100451345044522e-06,2.0 dmlz_c + h_c --> 4r5au_c + ribflv_c,2.5.1.9,1688.406233,1.24404382309842e-09
rxn00055_num1,0.0,3.0 amet_c --> 3.0 5mta_c + cpd03158_c0 + 4.0 h_c,2.5.1.43,,
rxn00060,0.0,h2o_c + 4.0 ppbng_c --> hmbil_c + 4.0 nh4_c,2.5.1.61,634.4171321,0.0
rxn00063,0.0,atp_c + h2o_c --> amp_c + 2.0 h_c + ppi_c,,,
rxn00077,8.15890886320786e-07,atp_c + nad_c --> adp_c + h_c + nadp_c,2.7.1.23,,
rxn00085_reverse,0.2398885179287362,akg_c + gln__L_c + h_c + nadph_c --> 2.0 glu__L_c + nadp_c,1.4.1.13,69.13108777,0.003470052702292901
rxn00086_reverse,0.0,gthox_c + h_c + nadph_c --> 2.0 gthrd_c + nadp_c,1.8.1.7,267.7295139,0.0
rxn00097_num1,0.05536153083145766,amp_c + atp_c + h_c --> 2.0 adp_c,,,
rxn00100,7.912761387104419e-07,atp_c + dpcoa_c --> adp_c + coa_c,2.7.1.24,225.5633369,3.507999791035375e-09
rxn00102,0.0,h2co3_c + h_c --> co2_c + h2o_c,,661.9175305,0.0
rxn00105,0.0,atp_c + nmn_c --> nad_c + ppi_c,2.7.7.1,296.9286245,0.0
rxn00109,0.0,h2o_c + nad_c + nh4_c --> 2.0 h_c + ham_c + nadh_c,1.7.1.10,,
rxn00113_reverse,0.0,2.0 adp_c + cbp_c + 3.0 h_c + pi_c --> 2.0 atp_c + co2_c + h2o_c + nh4_c,,84.16769992,0.0
rxn00119,0.01848598611716749,atp_c + h_c + ump_c --> adp_c + udp_c,,,
rxn00122,7.720027310553428e-07,atp_c + fmn_c --> fad_c + ppi_c,2.7.7.2,960.7475408,8.035438013325621e-10
rxn00124,0.0,atp_c + pydx_c --> adp_c + h_c + pydx5p_c,2.7.1.35,367.1336145,0.0
rxn00126,0.0014295492162428227,atp_c + h2o_c + met__L_c --> amet_c + h_c + pi_c + ppi_c,2.5.1.6,105.0833105,1.3603960604598793e-05
rxn00127,0.0,amet_c + h_c --> ametam_c + co2_c,4.1.1.50,,
rxn00134,0.00030813680813663685,adn_c + atp_c --> adp_c + amp_c + h_c,2.7.1.20,462.469096,6.662862682107452e-07
rxn00137,0.002980345218374365,h2o_c + pap_c --> amp_c + pi_c,3.1.3.7,365.9924538,8.143187618843645e-06
rxn00138,1.729048649641901e-06,atp_c + dnad_c + nh4_c --> amp_c + 2.0 h_c + nad_c + ppi_c,6.3.1.5,378.3288027,4.57022737180539e-09
rxn00139_reverse,0.0010410465123225445,ade_c + prpp_c --> amp_c + h_c + ppi_c,2.4.2.7,,
rxn00141_num1,0.0,ahcys_c + h2o_c --> adn_c + hcys__L_c,3.3.1.1,239.2075477,0.0
rxn00148_reverse,7.1551117026000615,adp_c + h_c + pep_c --> atp_c + pyr_c,2.7.1.40,595.6273336,0.012012732289087918
rxn00154,0.0,coa_c + nad_c + pyr_c --> accoa_c + co2_c + nadh_c,1.2.1.104,8.7843416,0.0
rxn00157_reverse_num1,0.0,coa_c + pyr_c --> accoa_c + for_c,2.3.1.54,61.86130704,0.0
rxn00159,0.0,mal__L_c + nad_c --> co2_c + nadh_c + pyr_c,,845.7918937,0.0
rxn00165,0.0,ser__L_c --> nh4_c + pyr_c,4.3.1.17,,
rxn00168,0.0,h_c + pyr_c --> acald_c + co2_c,4.1.1.1,43.70464382,0.0
rxn00179,0.0064756227540046845,atp_c + glu__L_c --> adp_c + glu5p_c,2.7.2.11,219.2169775,2.9539786689216096e-05
rxn00187,0.29681602444509003,atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c,6.3.1.2,178.6134118,0.0016617790425359875
rxn00189,0.0,gln__L_c + h2o_c --> glu__L_c + nh4_c,,189.6126625,0.0
rxn00190,0.0,atp_c + dnad_c + gln__L_c + h2o_c --> amp_c + glu__L_c + 2.0 h_c + nad_c + ppi_c,6.3.5.1,378.3288027,0.0
rxn00192_num1,0.0,accoa_c + glu__L_c --> acglu_c + coa_c + h_c,2.3.1.1,273.2896446,0.0
rxn00193_num1,0.0003530503733631671,glu__L_c --> glu__D_c,5.1.1.3,,
rxn00194,0.0,glu__L_c + h_c --> 4abut_c + co2_c,4.1.1.15,214.5944963,0.0
rxn00198,0.0,icit_c + nadp_c --> akg_c + co2_c + nadph_c,1.1.1.41,463.4471183,0.0
rxn00199,0.0,cpd03187_c0 + h_c --> akg_c + co2_c,,480.4082473,0.0
rxn00202,0.0,accoa_c + akg_c + h2o_c --> coa_c + h_c + hcit_c,2.3.3.14,571.4218991,0.0
