,fluxes,kcat_MW,E,equ,ec-code,enz_ratio
rxn01476,39.994283420550175,2016.382749491497,0.01983466850757187,cpd00001_c0 + cpd00911_c0 --> cpd00067_c0 + cpd00284_c0,3.1.1.31,0.26731042245330267
rxn00459,39.547373978219355,2262.687300882424,0.017478055391390714,cpd00482_c0 --> cpd00001_c0 + cpd00061_c0,4.2.1.11,0.2355505144213183
rxn00168,78.48338785422585,7090.704344,0.011068489679820988,cpd00020_c0 + cpd00067_c0 --> cpd00011_c0 + cpd00071_c0,4.1.1.1,0.14916925135922887
rxn00543_reverse_num1,78.50332661993683,10536.75159,0.007450429665101067,cpd00004_c0 + cpd00067_c0 + cpd00071_c0 --> cpd00003_c0 + cpd00363_c0,,0.10040891283242274
rxn00216,40.0,13037.273997621154,0.0030681260520641507,cpd00002_c0 + cpd00027_c0 --> cpd00008_c0 + cpd00067_c0 + cpd00079_c0,"2.7.1.1,2.7.1.2",0.04134891746762307
rxn02914_reverse,0.19962269236487173,87.72914008206958,0.0022754433951834825,cpd00023_c0 + cpd02069_c0 --> cpd00024_c0 + cpd00738_c0,,0.030665989451897073
rxn00187,1.2455498766337267,959.1473828398592,0.0012986011315027335,cpd00002_c0 + cpd00013_c0 + cpd00023_c0 --> cpd00008_c0 + cpd00009_c0 + cpd00053_c0 + cpd00067_c0,6.3.1.2,0.01750115546059245
rxn00781,39.746996670584224,33065.203532064734,0.001202079298620977,cpd00003_c0 + cpd00009_c0 + cpd00102_c0 --> cpd00004_c0 + cpd00067_c0 + cpd00203_c0,,0.016200337556136934
rxn10902,38.54287204190716,40104.92004,0.0009610509634096047,cpd00003_c0 + cpd00079_c0 --> cpd00004_c0 + cpd00067_c0 + cpd00911_c0,1.1.1.388,0.012952015756154631
rxn05330,0.019695918774703565,20.84501558937919,0.0009448742645574654,cpd11479_c0 --> cpd00001_c0 + cpd11473_c0,4.2.1.59,0.012734003531628952
rxn00011_num1,0.14533627169859137,156.89092426058787,0.0009263523201456523,cpd00020_c0 + cpd00056_c0 + cpd00067_c0 --> cpd00011_c0 + cpd03049_c0,1.2.4.1,0.012484384598825095
rxn00902,0.0406861497680583,46.31869960219661,0.0008783957692570629,cpd00001_c0 + cpd00022_c0 + cpd00123_c0 --> cpd00010_c0 + cpd00067_c0 + cpd01646_c0,2.3.3.13,0.011838077559585271
