,kcat,MW,kcat_MW
rxn00001_num1,1326.3440904558042,117222.42359999998,40733.15138009905
rxn00006,1326.3440904558042,54598.68180000005,87453.37008559227
rxn00011_num1,10.620615384615384,243699.3444000004,156.89092426058787
rxn00014,1326.3440904558042,53252.7195000001,89663.75371009711
rxn00029,254.4625,290770.04799999995,3150.4792405578173
rxn00048,0.5868883333333333,21839.53850000001,96.74187941288224
rxn00060,0.25,33550.18180000004,26.825488021647587
rxn00063,1326.3440904558042,30916.417500000003,154443.4676378948
rxn00077,27.364166666666662,29047.29410000001,3391.400233731236
rxn00085,23.6,220859.5487000002,384.6788626531316
rxn00086,233.7,48833.95960000009,17228.174960442866
rxn00097_num1,1326.3440904558042,24528.2085,194667.2430496053
rxn00100,4.969783333333333,22082.6008,810.1953280792907
rxn00102,1326.3440904558042,23323.939700000017,204718.36178005947
rxn00105,6.998489143478261,24672.472,1021.160786666279
rxn00113,1326.3440904558042,239172.96320000035,19963.956886080374
rxn00119,1326.3440904558042,157889.95380000002,30241.56135791392
rxn00122,0.44314833,34272.878300000004,46.54800142653907
rxn00124,0.944,36737.325000000055,92.50537430256544
rxn00126,1.419775782352941,170746.18040000004,29.93444892586649
rxn00134,6.697435884615384,22082.6008,1091.8446338356753
rxn00137,7.3,29835.51470000001,880.8294498770617
rxn00138,0.3166666666666666,61597.68400000014,18.5071893287416
rxn00141_num1,634.4785185185185,50846.85770000005,44921.609121711066
rxn00148,2105.341832829977,51444.54920000013,147328.156550119
rxn00154,38.03814285714286,182151.53350000025,751.7768950636593
rxn00157_num1,7.9825,172172.13080000092,166.90854592129986
rxn00159,1326.3440904558042,61864.252100000165,77182.51758580432
rxn00165,196.14306666666667,48762.07610000005,14480.823961471962
rxn00168,100000.0,3600000.0,100000.0
rxn00179,12.25,42508.11390000007,1037.448993943717
rxn00187,166.8,626056.0272000002,959.1473828398592
rxn00189,1326.3440904558042,54660.2172000001,87354.91679752941
rxn00190,0.9634333333333334,61597.68400000016,56.30666243880194
rxn00192_num1,2.1999998,86263.86960000011,91.81131471060267
rxn00193_num1,4810.05844,30201.82140000001,573349.8703492099
rxn00194,18.893937500025,43423.76160000006,1566.381457844267
rxn00198,25.0,46347.619895844255,1941.847288
rxn00199,1326.3440904558042,46347.61990000009,103022.30699101952
rxn00202,2.141833333333333,41256.77070000003,186.89296009297192
rxn00206,1326.3440904558042,23081.907900000017,206864.99341074363
rxn00208,6.6612,44970.61039999999,533.2442630131612
rxn00209,0.2582,44970.61039999999,20.669499295922392
rxn00211,12.34529411764706,47349.797800000015,938.6113750950252
rxn00213,1326.3440904558042,31704.21310000001,150605.81098733822
rxn00216,126.37687235294118,34896.61570000001,13037.273997621154
rxn00224,1326.3440904558042,37425.69200000003,127581.84205761355
rxn00231,675.0556153846154,31723.728300000017,76605.12637112121
rxn00237,1326.3440904558042,24528.2085,194667.2430496053
rxn00239,334.64,24759.877100000023,48655.4919127607
rxn00242,2.6358333333333333,81185.13000000041,116.88101010616047
rxn00251,1326.3440904558042,394993.2188000028,12088.406834291864
rxn00256_num1,1326.3440904558042,47544.51330000006,100428.80648524567
rxn00260_num1,1326.3440904558042,43682.15320000007,109308.68503159974
rxn00262,1326.3440904558042,58279.85190000007,81929.49312626667
rxn00279,148.98333333333332,59369.93370000017,9033.865570916048
rxn00283_num1,80.60428571428571,38115.20910000006,7613.113909728704
rxn00285,1326.3440904558042,144420.33039999998,33062.095290988866
rxn00293,1326.3440904558042,147307.12080000006,32414.17454709285
rxn00299,7.2103725,228130.41900000008,113.78290152528932
rxn00300_num1,80.54612222222222,39794.27439999997,7286.627143526965
rxn00301,1326.3440904558042,30916.417500000003,154443.4676378948
rxn00302,1326.3440904558042,228130.41900000008,20930.3027039147
rxn00303,11.717058823529412,81185.13000000041,519.5706623208667
rxn00305,41.05969684848485,45362.37480000003,3258.535500097878
rxn00313,18.235,90496.76000000014,725.396135729057
rxn00322,18.33833333333333,43423.76160000005,1520.319695196556
rxn00328,9.8,64515.39029999996,546.8462615810917
rxn00337_num1,20.913636363636364,45450.450400000045,1656.509236904962
rxn00338,1.99145,58279.85190000008,123.0136962650722
rxn00342,1326.3440904558042,38700.15190000002,123380.36134790708
rxn00346,2.744285714285714,43423.76160000006,227.5120396623713
rxn00351,27.574,34927.6294,2842.059472836711
rxn00361,43.2254,23370.295100000003,6658.514123769022
rxn00364,1326.3440904558042,22854.669100000003,208921.80520088537
rxn00367,1326.3440904558042,30916.417500000003,154443.4676378948
rxn00379_num1,5.853066666666667,35394.938600000045,595.3122348402653
