,kcat,data_type,MW,kcat_MW
rxn00011_num1,4.538555555555555,Other_species,243704,67.04362669467878
rxn00077,27.364166666666666,Other_species,29048,3391.3178187827043
rxn00097_num1,3263.707670150933,fill,24528,479017.75980688847
rxn00100,5.48635,Other_species,22083,894.3920662953403
rxn00113_reverse,3263.707670150933,fill,239176,49124.275063314715
rxn00119,3263.707670150933,fill,157890,74414.76732246095
rxn00124,0.944,Other_species,36738,92.50367466927976
rxn00126,1.419775782352941,Other_species,170748,29.934129925214865
rxn00134,6.697435884615384,Other_species,22083,1091.8248962829045
rxn00141_num1,142.904,Other_species,50847,10117.694259248334
rxn00154,2424.9579999999996,Brenda_SA,1212479.0,7199.999999999998
rxn00168,252.0,Database,243704,3722.5486655943278
rxn00179,12.25,Other_species,42509,1037.4273683220024
rxn00192_num1,0.22,Other_species,86264,9.181118427153853
rxn00208,6.0064,Other_species,44972,480.811171395535
rxn00209,0.2582,Other_species,44972,20.668860624388508
rxn00216,139588.0,Brenda_SA,34897,14400000.0
rxn00224,3263.707670150933,fill,37426,313935.43559406186
rxn00237,3263.707670150933,fill,24528,479017.75980688847
rxn00239,334.64,Other_species,24760,48655.250403877224
rxn00285,3263.707670150933,fill,84042.0,139803.28422150068
rxn00293,3263.707670150933,fill,147309,79759.87626379488
rxn00313,24.521428571428572,Other_species,90498,975.4595997385894
rxn00328,9.8,Other_species,64515,546.8495698674727
rxn00379_num1,6.635058823529412,Other_species,35395,674.8470621473621
rxn00409,3263.707670150933,fill,24528,479017.75980688847
rxn00410_num1,3263.707670150933,fill,239176,49124.275063314715
rxn00412_num1,7.9591111111111115,Other_species,239176,119.79797304077333
rxn00414,400.85923076923075,Other_species,160337.0,9000.375651092578
rxn00459,66.2408972972973,Other_species,365944,651.6495154183981
rxn00461,3.2818181818181817,Other_species,44755,263.98269365535594
rxn00474_num1,1.0233333333333334,Other_species,57676.0,63.87405506623206
rxn00514,3263.707670150933,fill,22937,512244.30450989056
rxn00543_num1,147.9902857142857,Other_species,80290,6635.509136522961
rxn00544,121.75,Database,243704,1798.4932541115452
rxn00555,3263.707670150933,fill,131976,89026.39580335334
rxn00558,3263.707670150933,fill,55399,212085.91513462987
rxn00604,326.9590909090909,Other_species,53859,21854.336828992877
rxn00611_reverse,3263.707670150933,fill,36310,323584.3462556695
rxn00612_reverse,3263.707670150933,fill,36310,323584.3462556695
rxn00623_reverse,307.99642857142857,Other_species,131647.0,8422.426206880087
rxn00633,200.0,Database,188760,3814.367450731087
rxn00678,999.0,Other_species,415800,8649.35064935065
rxn00690,3263.707670150933,fill,59286,198180.81187031273
rxn00692,3263.707670150933,fill,91626,128231.58942378101
rxn00721,3263.707670150933,fill,104393,112549.19019994981
rxn00735_reverse,3263.707670150933,fill,75456,155711.24380491095
rxn00743,3263.707670150933,fill,63011,186465.02376637983
rxn00776_num1,0.007776666666666667,Other_species,87411.0,0.3202800562858221
rxn00781,3263.707670150933,fill,144408,81362.16561785607
rxn00789_num1,1.0455714285714286,Other_species,24536,153.4095672830593
rxn00798,3263.707670150933,fill,23205,506328.2746194079
rxn00802,230.47744444444444,Other_species,51079,16243.83406096439
rxn00838,2.160615384615385,Other_species,93534,83.15922963430822
rxn00851,13.653702076923077,Other_species,35215,1395.8065448508612
rxn00859,8.039,Other_species,46339,624.5365674701656
