,kcat,data_type,MW,kcat_MW
rxn00011_num1,0.46,Other_species,243704,6.795128516561074
rxn00077,10.89,Other_species,29048,1349.628201597356
rxn00097_num1,5.24,fill,24528,769.0802348336595
rxn00100,2.71,Other_species,22083,441.78780057057463
rxn00113_reverse,5.24,fill,239176,78.87078971134227
rxn00119,5.24,fill,157890,119.47558426752802
rxn00124,0.136,Other_species,36738,13.326800587947087
rxn00126,0.93,Other_species,170748,19.607843137254903
rxn00134,1.2,Other_species,22083,195.62559434859395
rxn00141_num1,49.75,Other_species,50847,3522.331700985309
rxn00154,2424.9579999999996,Brenda_SA,1212479.0,7199.999999999998
rxn00168,150.0,Database,243704,2215.802777139481
rxn00179,12.25,Other_species,42509,1037.4273683220024
rxn00192_num1,0.22,Other_species,86264,9.181118427153853
rxn00208,0.2,Other_species,44972,16.009961753980253
rxn00209,0.185,Other_species,44972,14.809214622431735
rxn00216,139588.0,Brenda_SA,34897,14400000.0
rxn00224,5.24,fill,37426,504.03462833324426
rxn00237,5.24,fill,24528,769.0802348336595
rxn00239,80.0,Other_species,24760,11631.663974151857
rxn00285,5.24,fill,84042.0,224.4591989719426
rxn00293,5.24,fill,147309,128.0573488381565
rxn00313,15.65,Other_species,90498,622.5551945899357
rxn00328,9.8,Other_species,64515,546.8495698674727
rxn00379_num1,1.8,Other_species,35395,183.07670574939962
rxn00409,5.24,fill,24528,769.0802348336595
rxn00410_num1,5.24,fill,239176,78.87078971134227
rxn00412_num1,6.9,Other_species,239176,103.85657423821789
rxn00414,4.79,Other_species,160337.0,107.54847602237787
rxn00459,43.0,Other_species,365944,423.01554336182585
rxn00461,3.5,Other_species,44755,281.5327896324433
rxn00474_num1,0.45,Other_species,57676.0,28.087939524238852
rxn00514,5.24,fill,22937,822.4266469023848
rxn00543_num1,51.19,Other_species,80290,2295.2297920039855
rxn00544,57.2,Database,243704,844.9594590158553
rxn00555,5.24,fill,131976,142.93507910529186
rxn00558,5.24,fill,55399,340.51156158053396
rxn00604,175.0,Other_species,53859,11697.209380047903
rxn00611_reverse,5.24,fill,36310,519.5263012944092
rxn00612_reverse,5.24,fill,36310,519.5263012944092
rxn00623_reverse,194.5,Other_species,131647.0,5318.769132604617
rxn00633,200.0,Database,188760,3814.367450731087
rxn00678,999.0,Other_species,415800,8649.35064935065
rxn00690,5.24,fill,59286,318.1864183787066
rxn00692,5.24,fill,91626,205.88042695304827
rxn00721,5.24,fill,104393,180.701771191555
rxn00735_reverse,5.24,fill,75456,250.0
rxn00743,5.24,fill,63011,299.37629937629936
rxn00776_num1,0.00833,Other_species,87411.0,0.34306895013213445
rxn00781,5.24,fill,144408,130.62988200099718
rxn00789_num1,0.94,Other_species,24536,137.91979132702966
rxn00798,5.24,fill,23205,812.9282482223658
rxn00802,15.5,Other_species,51079,1092.4254586033398
rxn00838,1.42,Other_species,93534,54.65392263775739
rxn00851,4.916667,Other_species,35215,502.62675564390184
rxn00859,1.436,Other_species,46339,111.56045663480006
rxn00863,5.24,fill,46339,407.0869030406353
rxn00898,5.24,fill,131358,143.60754579089206
rxn00907,5.24,fill,62886,299.9713767770251
rxn00912_num1,5.24,fill,292310,64.53422736136294
rxn00917,2.39,Other_species,115674,74.38145132008921
rxn00921,55.0,Other_species,26959,7344.486071441819
rxn00927,0.06,Other_species,50847,4.248038232344091
rxn01018,52.316665,Other_species,415800,452.95813852813853
rxn01066,5.24,fill,76906,245.28645359269757
rxn01100,220.0,Other_species,41388,19135.98144389678
rxn01106,5.24,fill,51876,363.6363636363636
rxn01143,3.3,Other_species,88380,134.41955193482687
rxn01208,5.24,fill,75456,250.0
rxn01241,5.24,fill,99492,189.6031841756121
rxn01255,0.43915,Other_species,153328,10.310836898674737
rxn01268,12.65,Other_species,64102,710.4302517862158
rxn01269,16.3,Other_species,64102,915.4160556612899
rxn01300,18.3,Other_species,36738,1793.2386085252326
rxn01303_num1,0.977,Other_species,82370,42.70001214034236
rxn01331,110.0,Other_species,144408,2742.2303473491775
rxn01396,0.995,Other_species,36738,97.50122488975992
rxn01485,0.1,Other_species,47895,7.516442217350454
rxn01512,147.0,Other_species,24528,21575.342465753423
rxn01518,2.3,Other_species,88380,93.68635437881872
rxn01519_num1,5.24,fill,15680,1203.061224489796
rxn01520,5.24,fill,67172,280.8312987554338
