metname,inchikey
gar,OBQMLSFOUZUIOB-HJZCUYRDSA-M
cpd09802,NA
cpd11435,NA
cpd21472,NA
pram,SKCBPEVYGOQGJN-TXICZTDVSA-M
gcald,WGCNASOHLSPBMP-UHFFFAOYSA-N
pan4p,JDMUPRLRUUMCTL-VIFPVBQESA-L
cpd25880,NA
cpd11542,NA
pg161,GHQNERCMPIDAAU-ANXSUKRNSA-M
iasp,NMUOATVLLQEYHI-UHFFFAOYSA-M
cpd25884,NA
hdeACP,NA
cpd15065,NA
clpn140,SDCJNZZAOLRVCP-GTOSQJSUSA-L
adocbi,KQXSPGAEBZWHMC-OCUXTBADSA-N
xolest_hs,NA
dctp,RGWHQCVHVJXOKC-SHYZEUOFSA-J
3c2hmp,RNQHMTFBUSSBJQ-CRCLSJGQSA-L
ahdt,DGGUVLXVLHAAGT-XINAWCOVSA-J
uaccg,BEGZZYPUNCJHKP-DBYWSUQTSA-K
cpd14548,NA
cpd12322,NA
cpd12438,NA
cpd19185,NA
cpd15684,NA
ficytc,NA
fol,OVBPIULPVIDEAO-LBPRGKRZSA-L
cpd11560,NA
thymd,IQFYYKKMVGJFEH-XLPZGREQSA-N
cpd15677,NA
cpd11553,NA
3ocddec5eACP,NA
tyrtrna,NA
udcpdp,NTXGVHCCXVHYCL-RDQGWRCRSA-K
cpd11636,NA
cpd11209,NA
SM_MOLECULES,NA
cpd24604,NA
cpd01921,NA
cpd10565,NA
peamn,BHHGXPLMPWCGHP-UHFFFAOYSA-O
fecost,SLQKYSPHBZMASJ-QKPORZECSA-N
mg2,JLVVSXFLKOJNIY-UHFFFAOYSA-N
ugmd,QUHLBZKCGUXHGP-AJVQVANPSA-J
dtdprmn,ZOSQFDVXNQFKBY-CGAXJHMRSA-L
urea,XSQUKJJJFZCRTK-UHFFFAOYSA-N
4adcho,OIUJHGOLFKDBSU-HTQZYQBOSA-M
cdpdtdecg,ICFWXMWHAMIZGF-WNAWUNHNSA-L
mlthf,QYNUQALWYRSVHF-OLZOCXBDSA-L
colipa,SFVRSCGTAWOHDB-JMYCZVSXSA-C
2dh3dgal6p,OVPRPPOVAXRCED-NQXXGFSBSA-K
cpd03658,NA
5flurimp,RNBMPPYRHNWTMA-UAKXSSHOSA-L
metsox_S__L,QEFRNWWLZKMPFJ-YGVKFDHGSA-N
dad_5,XGYIMTFOTBMPFP-KQYNXXCUSA-N
pe160,SLKDGVPOSSLUAI-PGUFJCEWSA-N
pyr,LCTONWCANYUPML-UHFFFAOYSA-M
4mpetz,OCYMERZCMYJQQO-UHFFFAOYSA-L
aa,HRPVXLWXLXDGHG-UHFFFAOYSA-N
indole,SIKJAQJRHWYJAI-UHFFFAOYSA-N
glu5p,PJRXVIJAERNUIP-VKHMYHEASA-L
pa180,YFWHNAWEOZTIPI-DIPNUNPCSA-L
t3c5ddeceACP,NA
ttc_ggdp,NA
cpd02172,NA
dgsn,YKBGVTZYEHREMT-KVQBGUIXSA-N
cpd09790,NA
ocACP,NA
