reactions,metabolites,metabolitestotal,gpr,genes
rxn00011_num1,pyr_c,pyr,ZMO1360,ZMO1360
rxn00011_num1,thmpp_c,thmpp,ZMO1360,ZMO1360
rxn00014,focytc_c,focytc,ZMO1136,ZMO1136
rxn00048,dmlz_c,dmlz,ZMO0475,ZMO0475
rxn00060,ppbng_c,ppbng,ZMO1903,ZMO1903
rxn00085_reverse,akg_c,akg,ZMO1116 and ZMO1117,ZMO1116
rxn00085_reverse,akg_c,akg,ZMO1116 and ZMO1117,ZMO1117
rxn00085_reverse,gln__L_c,gln__L,ZMO1116 and ZMO1117,ZMO1116
rxn00085_reverse,gln__L_c,gln__L,ZMO1116 and ZMO1117,ZMO1117
rxn00086_reverse,gthox_c,gthox,ZMO1211,ZMO1211
rxn00100,dpcoa_c,dpcoa,ZMO0040,ZMO0040
rxn00102,h2co3_c,h2co3,ZMO1133,ZMO1133
rxn00105,nmn_c,nmn,ZMO1662,ZMO1662
rxn00113_reverse,cbp_c,cbp,ZMO0462,ZMO0462
rxn00122,fmn_c,fmn,ZMO0322,ZMO0322
rxn00124,pydx_c,pydx,ZMO1600,ZMO1600
rxn00126,met__L_c,met__L,ZMO0273,ZMO0273
rxn00134,adn_c,adn,ZMO0040,ZMO0040
rxn00137,pap_c,pap,ZMO0734,ZMO0734
rxn00138,dnad_c,dnad,ZMO0899,ZMO0899
rxn00141_num1,ahcys_c,ahcys,ZMO0182,ZMO0182
rxn00148_reverse,pep_c,pep,ZMO0152,ZMO0152
rxn00154,pyr_c,pyr,ZMO1605 and ZMO1606 and ZMO0510,ZMO0510
rxn00154,pyr_c,pyr,ZMO1605 and ZMO1606 and ZMO0510,ZMO1605
rxn00154,pyr_c,pyr,ZMO1605 and ZMO1606 and ZMO0510,ZMO1606
rxn00157_reverse_num1,pyr_c,pyr,ZMO1570,ZMO1570
rxn00159,mal__L_c,mal__L,ZMO1955,ZMO1955
rxn00168,pyr_c,pyr,ZMO1360,ZMO1360
rxn00179,glu__L_c,glu__L,ZMO0206,ZMO0206
rxn00187,glu__L_c,glu__L,ZMO0493,ZMO0493
rxn00189,gln__L_c,gln__L,ZMO0113,ZMO0113
rxn00190,gln__L_c,gln__L,ZMO0899,ZMO0899
rxn00190,dnad_c,dnad,ZMO0899,ZMO0899
rxn00192_num1,accoa_c,accoa,ZMO0923,ZMO0923
rxn00192_num1,glu__L_c,glu__L,ZMO0923,ZMO0923
rxn00194,glu__L_c,glu__L,ZMO1020,ZMO1020
rxn00198,icit_c,icit,ZMO0544,ZMO0544
rxn00199,cpd03187_c0,cpd03187,ZMO0544,ZMO0544
rxn00202,accoa_c,accoa,ZMO1835,ZMO1835
rxn00202,akg_c,akg,ZMO1835,ZMO1835
rxn00208,pyam5p_c,pyam5p,ZMO0851,ZMO0851
rxn00209,pdx5p_c,pdx5p,ZMO0851,ZMO0851
rxn00211,udpg_c,udpg,ZMO0819,ZMO0819
rxn00213,g1p_c,g1p,ZMO1767,ZMO1767
rxn00216,glc__D_c,glc__D,ZMO0369,ZMO0369
rxn00224,ppp9_c,ppp9,ZMO0303,ZMO0303
rxn00231,ad_c,ad,ZMO1370,ZMO1370
