reactions,data_type,kcat,MW,kcat_MW
rxn01019,DLkcat,1230.8165,34017.59110000002,130254.35537085978
rxn00260_reverse_num5,DLkcat,649.6691,45284.97000000006,25823.23406640213
rxn11599_reverse_num1,DLkcat,574.6281,33426.82320000002,61886.26264669982
rxn11962,DLkcat,461.0403,54598.68180000004,30398.99545706612
rxn10770_reverse_num2,DLkcat,259.5192,40144.77750000001,11636.247330054322
rxn02339_num5,DLkcat,222.3613,45284.97000000006,8838.480846956496
rxn00260_num5,DLkcat,222.3613,45284.97000000006,8838.480846956496
rxn00527_num4,DLkcat,222.3613,45284.97000000006,8838.480846956496
rxn03004_reverse,DLkcat,216.0784,22899.95740000001,33968.719959278154
rxn03004,DLkcat,178.4532,22899.95740000001,28053.83035341365
rxn03135,DLkcat,169.9725,26790.13,12318.820895526324
rxn05034,DLkcat,165.1968,35066.90960000001,16959.249810824498
rxn03893,DLkcat,165.1968,35066.90960000001,16959.249810824498
rxn21734,DLkcat,165.1968,35066.90960000001,16959.249810824498
rxn00351,DLkcat,155.8708,34927.6294,16065.644581077697
rxn03062_reverse,DLkcat,146.1134,37727.58600000002,6971.135656545846
rxn01208,DLkcat,146.1134,37727.58600000002,6971.135656545846
rxn03194_num2,DLkcat,145.639,18470.07459999999,28386.47982504631
rxn03194_num3,DLkcat,145.639,18470.07459999999,28386.47982504631
rxn01274,DLkcat,133.4995,26826.31760000001,17915.175953929654
rxn03031_reverse,DLkcat,131.4476,29027.90959999998,5433.981370811493
rxn00781,DLkcat,114.3541,36101.68860000008,2850.7998930554118
rxn02107_reverse,DLkcat,114.0545,37127.214400000026,5529.58532757577
rxn01275,DLkcat,111.3842,18812.102599999995,21315.16760917518
rxn00527_reverse_num4,DLkcat,108.4774,45284.97000000006,4311.790865711068
rxn01476,DLkcat,105.5788,25530.8671,14887.22175049041
rxn29962,DLkcat,103.2335,38700.15190000001,9603.07858636596
rxn05126,DLkcat,101.8266,37127.214400000026,4936.752809550933
rxn05127,DLkcat,101.8266,37127.214400000026,4936.752809550933
rxn00154,DLkcat,101.1526,46832.87690000013,300.33560483195885
rxn03842,DLkcat,99.2261,35748.83910000004,9992.32335911013
rxn06437,DLkcat,99.1694,54109.78290000009,3056.369454153133
rxn08307,DLkcat,96.4698,22120.232099999976,15700.164375761698
rxn02230_num1,DLkcat,90.8002,32514.70320000005,10053.3201238017
rxn08309,DLkcat,90.3041,22120.232099999976,14696.71559187665
rxn06077,DLkcat,90.0509,20215.694599999988,16036.215742990113
rxn08311,DLkcat,85.6288,22120.232099999976,13935.82484154858
rxn00543_num1,DLkcat,84.8537,40144.77750000001,3804.645822236777
rxn00086_reverse,DLkcat,84.5151,48833.95960000009,6230.384807870452
rxn02185_reverse_num2,DLkcat,83.5135,18470.07459999999,16277.606155418567
rxn00011_num2,DLkcat,83.5135,18470.07459999999,3607.0353677853286
rxn00011_num3,DLkcat,486.0,18470.07459999999,94726.20105172727
rxn02185_reverse_num1,DLkcat,83.5135,18470.07459999999,3607.0353677853286
rxn00137,DLkcat,81.6824,29835.51470000001,9855.926500909329
rxn00912_num3,DLkcat,80.4413,56449.61570000016,5130.038112907811
rxn00905_reverse,DLkcat,80.4413,56449.61570000016,5130.038112907811
rxn00790_num2,DLkcat,79.8541,36136.65790000006,3977.605798459845
rxn01643,DLkcat,79.6019,37127.214400000026,3859.255867038597
rxn00048,DLkcat,76.6544,21839.538500000013,12635.607661764454
rxn00532_reverse,DLkcat,72.5144,37127.214400000026,3515.639999105344
rxn02693,DLkcat,72.1641,35066.90960000001,7408.4304252462525
rxn02339_reverse_num5,DLkcat,71.3083,45284.97000000006,2834.382798531165
rxn00532,DLkcat,69.5466,37127.214400000026,3371.755248085617
rxn06060_reverse_num3,DLkcat,69.0958,44167.87420000007,5631.805571480268
rxn00730,DLkcat,67.1577,29027.90959999998,2776.2674305696496
rxn01636_reverse,DLkcat,66.215,43131.93480000005,2763.312161920449
rxn01636,DLkcat,65.3859,43131.93480000005,2728.711812853799
rxn00763_num2,DLkcat,64.4131,40144.77750000001,2888.1360719959143
rxn01682_reverse_num2,DLkcat,64.0999,36346.256,793.61557900214
rxn01851,DLkcat,61.0111,37127.214400000026,2957.937506887129
rxn00974_reverse,DLkcat,59.3549,81995.42230000041,2605.9703579330053
rxn01388_reverse,DLkcat,59.3549,81995.42230000041,2605.9703579330053
rxn01871,DLkcat,59.0801,46832.87690000013,189.2263637555859
rxn00781_reverse,DLkcat,58.3489,36101.68860000008,1454.613676990164
rxn00763_reverse_num2,DLkcat,57.9401,40144.77750000001,2597.901557680821
rxn02190_num1,DLkcat,56.8847,33426.82320000002,6126.365008565931
rxn02175,DLkcat,56.8659,20037.941999999995,1702.746719199008
rxn00427,DLkcat,55.2974,54598.68180000004,3646.07044414028
rxn00791,DLkcat,54.5526,36136.65790000006,2717.314929115231
rxn00735_reverse,DLkcat,53.4952,37727.58600000002,2552.279915285329
rxn03062,DLkcat,52.2819,37727.58600000002,2494.392829692309
rxn00256_num1,DLkcat,51.2864,47544.51330000005,3883.330108671021
rxn01834_reverse_num1,DLkcat,50.7989,15870.65119999999,11522.907138177174
rxn00459_reverse,DLkcat,49.9442,45742.06960000002,491.33959605535625
rxn00260_reverse_num1,DLkcat,49.897,43682.15320000007,4112.187400139416
rxn00519,DLkcat,48.0627,45362.37480000003,3814.300304224811
rxn00305,DLkcat,48.0627,45362.37480000003,3814.300304224811
rxn02476,DLkcat,46.7361,47787.90410000005,3520.764577745937
rxn00109_reverse,DLkcat,46.477,59447.78890000012,2814.523518804913
rxn02405_num2,DLkcat,46.3127,22120.232099999976,7537.250027317759
rxn03194_reverse_num3,DLkcat,46.2389,18470.07459999999,9012.41839055702
rxn02185_num2,DLkcat,46.2389,18470.07459999999,9012.41839055702
rxn03194_reverse_num2,DLkcat,46.2389,18470.07459999999,9012.41839055702
rxn02185_num1,DLkcat,46.2389,18470.07459999999,1997.106427912721
rxn06432,DLkcat,46.0445,63285.26810000022,2619.254132542728
rxn02362,DLkcat,44.468,41368.92650000004,3869.687070560071
rxn04792_reverse,DLkcat,44.2526,39582.14220000002,4024.7786285806415
rxn06077_reverse,DLkcat,44.118,20215.694599999988,7856.509664525706
rxn02155,DLkcat,43.5584,24672.472,6355.676074938904
rxn01270_num4,DLkcat,43.1372,40262.753000000055,3857.011963389582
rxn00802_reverse,DLkcat,42.7145,51078.65420000011,3010.4982679829427
rxn01479,DLkcat,41.7986,24672.472,6098.900831663726
rxn00775,DLkcat,40.5474,20264.671500000004,7203.207809216151
rxn08168,DLkcat,39.2647,58279.85190000007,2425.4165958167064
rxn00543_reverse_num1,DLkcat,39.162,40144.77750000001,1755.9345048057612
rxn00792,DLkcat,38.5283,29752.94580000001,4661.786464182647
rxn02811_reverse_num3,DLkcat,37.9802,51812.279500000135,1869.1991398251332
rxn02789_reverse_num2,DLkcat,37.9802,51812.279500000135,2638.9250061850616
rxn02789_reverse_num3,DLkcat,37.9802,51812.279500000135,1869.1991398251332
rxn02811_reverse_num2,DLkcat,37.9802,51812.279500000135,2638.9250061850616
rxn00800_reverse,DLkcat,37.5148,48582.25190000007,2779.889254166084
rxn03136_reverse,DLkcat,37.5148,48582.25190000007,2779.889254166084
rxn29964,DLkcat,37.1474,59444.52770000018,2249.671166955871
rxn00361,DLkcat,36.6219,23370.295100000003,5641.299754062583
rxn00011_num4,DLkcat,36.6068,38653.42009999999,1489.3294769713154
rxn00786_reverse,DLkcat,36.1403,32790.98150000001,3967.709231271409
rxn00505_reverse,DLkcat,35.9785,46347.61990000009,2794.590105801738
rxn00198_reverse,DLkcat,35.9785,46347.61990000009,2794.590105801738
rxn02342,DLkcat,35.8931,38653.42009999999,1460.2929469355176
rxn02476_reverse,DLkcat,35.541,47787.90410000005,2677.4055571104204
rxn03908,DLkcat,35.3632,30473.550899999987,4177.639829954967
rxn06060_num3,DLkcat,34.4273,44167.87420000007,2806.073016753879
rxn03908_reverse,DLkcat,33.1671,30473.550899999987,3918.2030473514674
rxn01303_num2,DLkcat,33.1196,43131.93480000005,1382.1610432370385
rxn00192_num1,DLkcat,33.1196,43131.93480000005,1382.1610432370385
rxn00776_num2,DLkcat,32.4358,58652.46550000004,864.8087273112362
rxn03762,DLkcat,32.2937,44754.36840000005,2597.675358993556
rxn00105,DLkcat,32.0129,24672.472,4671.053634187932
rxn00799_reverse,DLkcat,31.8456,55146.594300000055,1039.449139654304
rxn03904,DLkcat,31.6518,38865.45770000002,2931.8188114377963
rxn05239,DLkcat,31.3739,28261.758000000023,3996.4265492613695
rxn00438,DLkcat,31.0676,34612.114,3231.3357109594635
rxn03884_reverse,DLkcat,31.0106,21505.130099999988,1730.4112938149592
rxn00124,DLkcat,30.3883,36737.325000000055,2977.840112201959
rxn00693_reverse_num2,DLkcat,30.2215,38203.10160000004,2847.8682474304624
rxn00157_reverse_num2,DLkcat,29.9037,28380.43820000001,3793.222614864346
rxn03903,DLkcat,29.7108,38865.45770000002,2752.0293424976167
rxn02342_reverse,DLkcat,29.6574,38653.42009999999,1206.5965894404617
rxn01465_num2,DLkcat,29.6206,48678.15230000007,2190.595882580364
rxn01241,DLkcat,29.5413,49745.38850000009,1068.9300376053934
rxn00279,DLkcat,29.219,59369.93370000018,1771.745283252686
rxn00650_num4,DLkcat,29.0101,49762.21770000008,2098.707911886327
rxn00342,DLkcat,28.9543,38700.15190000001,2693.412683995175
rxn29950,DLkcat,28.9543,38700.15190000001,2693.412683995175
rxn00785,DLkcat,28.4674,72109.32370000033,1421.2120533311777
rxn01200,DLkcat,28.4674,72109.32370000033,1421.2120533311777
rxn36841,DLkcat,27.7478,48670.28130000006,2052.42454598264
rxn36773,DLkcat,27.7478,48670.28130000006,2052.42454598264
rxn04919,DLkcat,27.1748,32969.27730000003,2967.2861527965583
rxn04872,DLkcat,27.1748,32969.27730000003,2967.2861527965583
rxn04810,DLkcat,27.1748,32969.27730000003,2967.2861527965583
rxn04811,DLkcat,27.1748,32969.27730000003,2967.2861527965583
rxn04830,DLkcat,27.1748,32969.27730000003,2967.2861527965583
rxn12154,DLkcat,27.1748,32969.27730000003,2967.2861527965583
rxn04831,DLkcat,27.1748,32969.27730000003,2967.2861527965583
rxn04832,DLkcat,27.1748,32969.27730000003,2967.2861527965583
rxn04833,DLkcat,27.1748,32969.27730000003,2967.2861527965583
rxn04916,DLkcat,27.1748,32969.27730000003,2967.2861527965583
rxn07181,DLkcat,27.1748,32969.27730000003,2967.2861527965583
