,kcat,MW,kcat_MW
CYOR_Q10_reverse,34.21973,21238.7017,580.0308783
CYOR_Q10,19.437275,21238.7017,329.4654776
LIPOS,10.761687,35661.4601,108.638494
LIPOS_reverse,20.033897,35661.4601,202.2408196
rxn00001_num1,300.64636,117222.4236,923.3104578
rxn00001_num2,10.308809,40700.7916,91.1817951
rxn00006,69.3487,54598.6818,457.2552153
rxn00011_num1,73.79651,243699.3444,109.0144238
rxn00011_num2,19.064552,101820.6851,67.40515165
rxn00011_num3,19.064552,36940.1492,185.7934759
rxn00011_num4,4.387456,88485.7797,17.85014683
rxn00014,51.912914,53252.7195,350.9426226
rxn00029,14.813775,290770.048,18.34081274
rxn00048,4.387455,21839.5385,72.32221505
rxn00060,12.813152,33550.1818,137.4876222
rxn00063,18.912632,30916.4175,220.2243361
rxn00076,11.848561,82189.4657,51.89815901
rxn00077,8.50927,29047.2941,105.4603293
rxn00085,34.733143,220859.5487,56.6148557
rxn00086,9.177985,48833.9596,67.65936301
rxn00097_num1,18.60062,24528.2085,273.0009083
rxn00097_num2,5.5954523,29637.523,67.96663905
rxn00097_reverse_num1,8.326429,24528.2085,122.2068232
rxn00097_reverse_num2,4.821621,29637.523,58.5670928
rxn00100,10.179385,22082.6008,165.9486866
rxn00102,20.629673,23323.9397,318.4145721
rxn00102_reverse,18.867176,23323.9397,291.2108095
rxn00105,7.957585,24672.472,116.1104003
rxn00113,5.8602133,239172.9632,8.82071602
rxn00119,80.38876,157889.9538,183.2919252
rxn00119_reverse,57.940468,157889.9538,132.1082689
rxn00122,1.6826544,34272.8783,17.67448823
rxn00124,3.2973537,36737.325,32.31175193
rxn00124_reverse,8.297491,36737.325,81.309588
rxn00126,2.3021038,170746.1804,4.853738842
rxn00134,12.349803,22082.6008,201.3317689
rxn00137,29.487244,29835.5147,355.7977111
rxn00138,5.4791403,61597.684,32.02215376
rxn00141_num1,2.0233598,50846.8577,14.32555641
rxn00148,19.437275,51444.5492,136.0186669
rxn00154,11.717936,182151.5335,23.15905268
rxn00157_num1,31.105467,172172.1308,65.03937698
rxn00157_num2,43.293755,28380.4382,549.1723451
rxn00159,87.64092,61864.2521,509.9993959
rxn00165,115.969666,48762.0761,856.1792913
rxn00168,228.72731,3600000,22.872731
rxn00179,21.904736,42508.1139,185.5105823
rxn00179_reverse,38.59754,42508.1139,326.8814616
rxn00187,19.89203,626056.0272,11.43848232
rxn00189,29.767313,54660.2172,196.0517764
rxn00190,5.4791403,61597.684,32.02215376
rxn00192_num1,16.612432,86263.8696,69.32769823
rxn00193_num1,33.05785,30201.8214,394.0433208
rxn00193_num2,17.181734,58594.3764,105.5634452
rxn00193_reverse_num1,33.05785,30201.8214,394.0433208
rxn00193_reverse_num2,17.181734,58594.3764,105.5634452
rxn00194,6.2712464,43423.7616,51.99109015
rxn00198,54.361298,46347.6199,422.2453563
rxn00198_reverse,64.42595,46347.6199,500.4214251
rxn00199,71.06343,46347.6199,551.9773152
rxn00202,3.5748975,41256.7707,31.19398533
rxn00206,45.969,23081.9079,716.9615299
rxn00208,18.78034,44970.6104,150.340908
