reactions,data_type,kcat,MW,kcat_MW
rxn10208,UniKP,91.31232904,22605.4401,3373.217294
rxn00543_reverse_num1,UniKP,35.44859825,40144.7775,1589.434064
rxn01807_reverse,UniKP,34.98430889,36737.325,3428.216725
rxn01790_reverse,UniKP,34.98430889,36574.4253,3443.485741
rxn01641_reverse,UniKP,31.5247213,32482.2291,3493.879571
rxn00508,UniKP,31.5247213,49622.1121,2287.065018
rxn00907,UniKP,30.63009453,31443.1375,1753.456383
rxn08798,UniKP,29.49633807,41794.9076,2540.663999
rxn00216,UniKP,1492.0,34896.6157,153917.5043842432
rxn00566,UniKP,28.8724069,75194.6988,1382.287136
rxn05451_reverse,UniKP,27.80210681,32747.2721,3056.36403
rxn08820,UniKP,27.58069042,41794.9076,2375.659888
rxn00527_num4,UniKP,26.10088761,45284.97,1037.465581
rxn00011_num4,UniKP,24.83404004,49832.3596,1010.360585
rxn03762,UniKP,24.83404004,44754.3684,1997.627212
rxn07292_reverse,UniKP,24.83404004,42312.7614,1056.448944
rxn07312_reverse,UniKP,24.83404004,33586.0882,1330.946069
rxn00507,UniKP,24.75898489,49622.1121,1796.222326
rxn00527_num2,UniKP,24.66875406,44113.9488,2013.139087
rxn07842_reverse,UniKP,24.37856206,40155.666,2185.565131
rxn07579_reverse,UniKP,24.17567946,28969.9665,3004.230124
rxn09207,UniKP,24.17567946,29355.374,2964.787505
rxn00484,UniKP,24.17567946,98748.3047,220.3390891
rxn08817,UniKP,24.04906035,41794.9076,2071.463301
rxn01740,UniKP,23.77761964,31557.8567,1356.230106
rxn00730,UniKP,23.7728344,29027.9096,982.7576862
rxn00707,UniKP,23.20620886,22854.6691,3655.373505
rxn05388,UniKP,23.20620886,34208.4536,740.908115
rxn10204,UniKP,23.20620886,37422.9261,857.2728994
rxn07181,UniKP,22.07864467,32969.2773,2410.823873
rxn36841,UniKP,21.96849079,48670.2813,1624.945752
rxn02312,UniKP,21.59510156,46928.922,828.2990776
rxn06874_num1,UniKP,21.49701249,54984.869,703.7321937
rxn06759,UniKP,21.44195096,32291.772,2390.423896
rxn06805,UniKP,21.35845542,28903.8012,2660.218945
rxn06750,UniKP,21.32887669,32291.772,2377.817981
rxn00527_num8,UniKP,20.44531034,40341.4843,608.5632155
rxn03135,UniKP,19.98384444,26790.13,1448.336645
rxn00337_num1,UniKP,19.86394519,45450.4504,1573.366206
rxn09203,UniKP,19.86394519,26959.1633,2652.537911
rxn00611_reverse,UniKP,19.79533916,36309.6774,1962.650898
rxn02320_num1,UniKP,19.69362489,40262.753,1760.859462
rxn07261,UniKP,19.53016455,38865.4577,1809.0252
rxn07312,UniKP,19.21862809,33586.0882,1029.995823
rxn03908_reverse,UniKP,19.07102401,30473.5509,2252.959843
rxn03910_reverse,UniKP,19.07102401,41368.9265,1659.595553
rxn10205,UniKP,19.03049099,22605.4401,703.0154855
rxn09110,UniKP,19.03049099,19991.8961,3426.876932
rxn00493_num1,UniKP,19.03049099,40262.753,1701.566894
rxn09114_reverse,UniKP,19.03049099,19991.8961,3426.876932
rxn06936,UniKP,18.84575087,66456.746,510.44256
rxn01682_reverse_num1,UniKP,18.5009642,28837.7523,455.1546046
rxn09211,UniKP,18.5009642,29355.374,2268.868083
rxn05239,UniKP,18.43753362,28261.758,2348.584296
rxn06804,UniKP,18.06585817,28903.8012,2250.122361
rxn07100,UniKP,17.87605961,38865.4577,1655.810028
rxn10231,UniKP,17.79262322,29355.374,2182.000597
rxn07292,UniKP,17.25358374,42312.7614,733.9736218
rxn06735_reverse,UniKP,17.00887036,32291.772,1896.208524
rxn06728_reverse,UniKP,17.00887036,32291.772,1896.208524
rxn09108,UniKP,17.00887036,19991.8961,3062.837712
rxn09210,UniKP,16.99766234,29355.374,2084.510469
rxn02476,UniKP,16.99766234,47787.9041,1280.482699
rxn09209,UniKP,16.99766234,29355.374,2084.510469
rxn03638,UniKP,16.89924596,49102.3736,412.9962293
rxn03884_reverse,UniKP,16.89924596,21505.1301,942.988722
rxn10261,UniKP,16.51567699,19991.8961,2974.026919
rxn03903_reverse,UniKP,16.35729028,38865.4577,1515.13062
rxn03904_reverse,UniKP,16.35729028,38865.4577,1515.13062
rxn09112,UniKP,16.16350864,19991.8961,2910.61092
rxn03084,UniKP,15.91781178,23951.3286,520.1795371
rxn04872,UniKP,15.7319333,32969.2773,1717.810171
rxn05324,UniKP,15.6691672,28969.9665,1947.154544
rxn05325,UniKP,15.6691672,28969.9665,1947.154544
rxn05328,UniKP,15.58352257,28969.9665,1936.511775
rxn00493_num4,UniKP,15.30878726,40262.753,1368.79945
rxn05229,UniKP,15.20746701,18899.4384,556.2027123
rxn06759_reverse,UniKP,15.10575169,32291.772,1684.04218
rxn06804_reverse,UniKP,15.10575169,28903.8012,1881.437868
rxn06750_reverse,UniKP,15.10575169,32291.772,1684.04218
rxn10224,UniKP,15.01076705,22120.2321,2442.956345
rxn05375,UniKP,15.00710149,34208.4536,479.1339829
rxn00159,UniKP,14.53452304,61864.2521,845.7918937
rxn00285,UniKP,14.50784481,30189.2893,361.6405056
rxn05453_reverse,UniKP,14.49623158,32747.2721,1593.61163
rxn05454_reverse,UniKP,14.49623158,32747.2721,1593.61163
rxn08844,UniKP,14.49623158,41794.9076,1248.631392
rxn05448,UniKP,14.41023567,28969.9665,1790.711371
rxn10206,UniKP,14.39471848,22605.4401,531.7629485
rxn01530_num1,UniKP,14.39471848,36122.01,1434.609717
rxn02200,UniKP,14.38337837,40155.666,1289.485826
rxn02186_reverse,UniKP,14.31375646,36574.4253,1408.894954
rxn00493_num3,UniKP,14.25360557,40262.753,424.2645327
rxn12637_num1,UniKP,14.18213793,29848.9962,1710.466115
rxn04792,UniKP,14.07461172,39582.1422,1280.087417
rxn06060_num1,UniKP,14.03528861,39392.6706,1282.650763
rxn09109,UniKP,13.80249193,19991.8961,2485.455642
rxn07261_reverse,UniKP,13.80249193,38865.4577,1278.486705
rxn07100_reverse,UniKP,13.80249193,38865.4577,1278.486705
rxn07181_reverse,UniKP,13.80249193,32969.2773,1507.129517
rxn21734,UniKP,13.78435283,35066.9096,1415.113871
rxn00293,UniKP,13.66915416,49102.3736,334.0568652
rxn01641,UniKP,13.66915416,32482.2291,1514.950062
rxn00599,UniKP,13.63531948,44228.057,554.9322472
