,kcat,MW,kcat_MW
rxn00011_num1,16.321,243699.34440000044,241.0987200013161
rxn00048,76.6544,21839.538500000017,12635.607661764454
rxn00060,2.4317,33550.18180000004,260.92615688896177
rxn00085_reverse,41.9,53388.88840000016,2825.3069977759556
rxn00086_reverse,84.5151,48833.95960000009,6230.384807870452
rxn00100,0.3305,22082.600799999993,53.87952310399962
rxn00105,32.0129,24672.471999999998,4671.053634187932
rxn00113_reverse,14.73,239172.96320000032,221.7140235690316
rxn00124,30.3883,36737.325000000055,2977.840112201959
rxn00126,12.7837,170746.18040000004,269.53059735911955
rxn00134,0.8439,22082.600799999993,137.57618622531098
rxn00137,81.6824,29835.514700000018,9855.926500909329
rxn00138,4.1043,61597.684000000154,239.87070682722364
rxn00141_num1,3.266,50846.85770000004,231.23552824779557
rxn00148_reverse,3204.0,51444.54920000013,224210.34257988931
rxn00154,101.1526,1212474.825300003,300.33560483195885
rxn00157_reverse_num1,5.9447,172172.13080000086,124.29955940348908
rxn00159,11.9627,61864.25210000017,696.13255697954
rxn00168,100000,3600000.0,100000
rxn00179,6.887,42508.11390000008,583.2580588808471
rxn00187,999.0,52171.33560000002,68934.40542856255
rxn00189,1.1147,54660.2172000001,73.41573461585133
rxn00190,6.5887,61597.68400000016,385.0683736745677
rxn00192_num1,33.1196,86263.86960000011,1382.1610432370385
rxn00194,2.4388,43423.76160000006,202.18607685060584
rxn00198,25,46347.619895844255,1941.847288
rxn00202,2.2699,41256.770700000045,198.06785313907253
rxn00208,0.1222,44970.61039999999,9.782388899929188
rxn00209,0.4591,44970.6104,36.75200281470941
rxn00211,1.3602,47349.79780000002,103.41585872622244
rxn00213,5.5981,31704.213100000015,635.6618893657383
rxn00216,3.4423,34896.61570000002,355.1140920521985
rxn00231,0.8276,31723.728300000017,93.915821363279
rxn00242,0.4606,81185.13000000041,20.424429941788496
rxn00251_reverse,1.2138,394993.21880000277,11.062670932111631
rxn00256_num1,51.2864,47544.51330000005,3883.330108671021
rxn00260_num1,17.3331,43682.15320000008,1428.4817809759409
rxn00262,10.2061,58279.85190000007,630.4401744713417
rxn00279,29.219,59369.933700000176,1771.745283252686
rxn00285,4.2324,144420.33039999998,105.50204363747947
rxn00305,48.0627,45362.37480000003,3814.300304224811
rxn00313,58.0,45248.38000000007,4614.529846151391
rxn00322,0.7856,43423.76160000006,65.12931850657534
rxn00337_num1,245.0,45450.450400000045,19405.74828715007
rxn00338,10.2061,58279.85190000007,630.4401744713417
rxn00342,28.9543,38700.15190000001,2693.412683995175
rxn00346,3.6974,43423.76160000006,306.528948887744
rxn00351,155.8708,34927.6294,16065.644581077697
rxn00361,36.6219,23370.2951,5641.299754062583
rxn00392,0.7688,34272.8783,80.7542330052857
rxn00394,16.1904,32116.408700000018,1814.8181057367092
rxn00405,2.7341,43423.76160000006,226.6676040336401
rxn00412_num1,17.1342,239172.96320000032,257.90172590879166
rxn00414,2660.0,40807.83710000004,234660.80734771385
rxn00420_num1,13.4851,32079.379500000043,1513.319794729818
rxn00423,14.5794,28211.809699999998,1860.4208860802007
rxn00427,55.2974,54598.68180000005,3646.07044414028
rxn00438,31.0676,34612.114,3231.3357109594635
rxn00461,5.4324,44754.36840000005,436.9772314784802
rxn00470_num1,2.8114,43423.76160000007,233.0760769467743
rxn00474_num1,9.3856,146331.53320000006,230.9014281550628
rxn00484,0.3739,394993.21880000277,3.407754705484049
rxn00493_num1,16.5699,40262.753000000055,1481.5588988661534
rxn00497,2.9429,394993.2188000029,26.821827554878325
rxn00500_num1,0.2667,64714.91280000024,14.836147627475386
rxn00507,5.4383,49622.11210000003,394.53943356030567
rxn00508,8.2556,49622.11210000003,598.929766232179
rxn00519,48.0627,45362.37480000003,3814.300304224811
rxn00529,0.928,394993.21880000277,8.457866720217163
rxn00532,69.5466,74254.42880000007,3371.755248085617
rxn00543_num1,470,16920.0,100000
rxn00544,2.8406,243699.34440000044,41.96219741656384
rxn00549,0.3889,35303.74940000004,39.65697762402535
rxn00555,13.8896,131973.9630000004,378.8820072031924
rxn00566,1.2209,75194.69880000048,58.45146094261597
rxn00599,7.8851,88456.11400000018,320.9089650942607
rxn00601,0.2435,37899.41710000005,23.12964333163844
rxn00604,305,53858.72849335683,20386.66769
rxn00611_reverse,1.6042,36309.67739999999,159.0518124515202
rxn00612_reverse,1.6042,36309.67739999999,159.0518124515202
rxn00633,200,188758.24001288487,3814.403016
rxn00640,1.7288,52267.07640000004,119.07457674445313
rxn00646,2.5453,105087.84620000013,87.1944790129307
rxn00650_num1,20.0503,29848.996200000027,2418.207953003121
rxn00678,1.2496,415799.06640000053,10.819071911220613
rxn00686,4.3888,16114.201099999991,980.4817441430596
rxn00690,8.12,59285.44550000012,493.0721149763467
rxn00692,2.0156,91625.53780000015,79.1936415788218
rxn00693_num1,11.802,97254.07320000067,436.8680776241227
rxn00700,0.0336,29083.167800000014,4.15910676690453
rxn00707,1.7708,22854.669100000003,278.9311878508011
rxn00710,999.0,25302.852399999992,142134.17298359616
rxn00721,4.596,104392.0030000008,158.49489926924645
rxn00726,0.8437,135994.11180000028,22.334202266542498
rxn00727,0.9165,135994.11180000025,24.26134452682968
rxn00730,67.1577,87083.72879999994,2776.2674305696496
rxn00735_reverse,53.4952,75455.17200000002,2552.279915285329
