,kcat,MW,kcat_MW
rxn00001_num1,300.64636,1172224.2360157962,923.3104578
rxn00006,69.3487,545986.8179659885,457.2552153
rxn00011_num1,73.79651,2436993.4430639995,109.0144238
rxn00014,51.912914,532527.1949455136,350.9426226
rxn00029,14.813775,2907700.479580819,18.34081274
rxn00048,4.387455,218395.38500141667,72.32221505
rxn00060,12.813152,335501.81799565663,137.4876222
rxn00063,18.912632,309164.17506684444,220.2243361
rxn00077,8.50927,290472.94089949335,105.4603293
rxn00097_num1,18.60062,245282.08501934865,273.0009083
rxn00100,10.179385,220826.0080318105,165.9486866
rxn00102,20.629673,233239.39702318667,318.4145721
rxn00105,7.957585,246724.71997325463,116.1104003
rxn00119,80.38876,1578899.5379050118,183.2919252
rxn00122,1.6826544,342728.7829312159,17.67448823
rxn00124,3.2973537,367373.25000873144,32.31175193
rxn00126,7.5,170746.1804,158.12945236460467
rxn00134,12.349803,220826.00795149524,201.3317689
rxn00137,29.487244,298355.1470070151,355.7977111
rxn00138,5.4791403,615976.8399038503,32.02215376
rxn00141_num1,2.0233598,508468.57682367676,14.32555641
rxn00154,11.717936,1821515.3349700833,23.15905268
rxn00159,87.64092,618642.5210234254,509.9993959
rxn00165,115.969666,487620.7610278602,856.1792913
rxn00168,480,243699.34440464946,7090.704344
rxn00179,21.904736,425081.1388887543,185.5105823
rxn00187,999.0,626056.0272,5744.533785713548
rxn00189,29.767313,546602.1719760352,196.0517764
rxn00190,5.4791403,615976.8399038503,32.02215376
rxn00192_num1,16.612432,862638.6960316077,69.32769823
rxn00193_num1,33.05785,302018.2140338921,394.0433208
rxn00194,6.2712464,434237.6160004408,51.99109015
rxn00198,54.361298,463476.1990394919,422.2453563
rxn00199,71.06343,463476.1990305793,551.9773152
rxn00202,3.5748975,412567.70700674044,31.19398533
rxn00206,45.969,230819.07898612344,716.9615299
rxn00208,18.78034,449706.1039434456,150.340908
rxn00209,19.347816,449706.10393459344,154.8836829
rxn00211,4.087579,473497.9779893743,31.07781888
rxn00213,16.440737,317042.1309754061,186.6838739
rxn00216,1492.0,34896.6157,153917.5043842432
rxn00224,0.7576238,374256.92002377886,7.287629257
rxn00231,25.584967,317237.28297425347,290.3375049
rxn00237,16.512526,245282.08502421703,242.3539966
rxn00239,10.926405,247598.77102008654,158.8661278
rxn00242,4.741781,811851.3000521763,21.02652493
rxn00256_num1,81.0634,475445.1330176811,613.8000365
rxn00260_num1,60.880848,436821.5320311074,501.7404975
rxn00262,29.718328,582798.5190223338,183.5728426
rxn00279,65.87237,593699.3370342818,399.4286623
rxn00283_num1,46.085197,381152.0909700532,435.2769226
rxn00285,31.880493,1444203.3039364167,79.46926481
rxn00293,25.361826,1473071.208004087,61.98109983
rxn00299,0.6150848,2281304.191019133,0.970631312
rxn00300_num1,4.0540953,397942.744034371,36.67548485
rxn00301,30.451435,309164.1749836867,354.5856049
rxn00302,1.0202785,2281304.1895151003,1.610045086
rxn00303,1.838405,811851.2999929485,8.15205691
rxn00305,2.8921087,453623.7479638528,22.95204201
rxn00313,58.0,90496.76,2307.2649230756992
rxn00322,6.857079,434237.6160188921,56.84787197
rxn00328,17.425842,645153.9030083116,97.23731176
rxn00337_num1,17.855555,454504.50395063305,141.4287371
rxn00338,29.718328,582798.5190223338,183.5728426
rxn00342,25.409245,387001.5190375197,236.364142
rxn00346,6.857079,434237.6160188921,56.84787197
rxn00351,7.9414496,349276.29401935806,81.85273106
rxn00361,9.08937,233702.95098323215,140.0142012
rxn00364,34.373188,228546.69098300164,541.436309
rxn00367,29.558289,309164.17497986264,344.1855461
rxn00379_num1,260.0,35394.9386,26444.45892611324
rxn00392,1.3432238,342728.78295224305,14.10913212
rxn00394,42.147907,321164.087003506,472.4453055
rxn00405,6.4607406,434237.6160369894,53.56207132
rxn00407,3.491301,618187.2120109706,20.33151666
rxn00409,16.512526,245282.08502421703,242.3539966
rxn00410_num1,5.834103,2391729.6321321316,8.781415139
rxn00412_num1,5.834103,2391729.6321321316,8.781415139
rxn00414,2660.0,320670.4962,29862.429233363317
rxn00420_num1,19.951422,320793.7949849576,223.8980938
rxn00423,11.282379,282118.09698548476,143.9700779
rxn00427,73.60297,545986.8179621139,485.3060244
rxn00438,8.374815,346121.14000376716,87.10630619
rxn00459,230.0,365936.5568000001,2262.687300882424
rxn00461,4.387455,447543.6839573137,35.29228222
rxn00463,28.691338,309164.1749798558,334.0905097
rxn00470_num1,6.4607406,434237.6160369894,53.56207132
rxn00474_num1,13.159726,2926630.6641304037,16.18756141
rxn00484,63.655018,3949932.18795472,58.01569594
rxn00493_num1,15.273137,402627.5298948139,136.5611865
rxn00497,63.655018,3949932.18795472,58.01569594
rxn00500_num1,26.007647,647157.6236391912,144.675
rxn00507,5.7140303,496221.1209723507,41.45431988
rxn00508,5.7140307,496221.1209954785,41.45432278
rxn00514,15.6361065,458731.67207413726,122.7078635
rxn00519,2.8921087,453623.7479638528,22.95204201
rxn00529,63.655018,3949932.18795472,58.01569594
rxn00532,9.163811,742544.2879646391,44.42794879
rxn00539,5.908768,485822.5190481313,43.78464144
rxn00541,12.812579,1463408.848101965,31.51906896
rxn00543_num1,60.629097,169200.00003069814,1289.980787
rxn00544,580.0,243699.34439999997,8567.934415830132
rxn00549,8.630886,353037.4940090087,88.01101902
rxn00555,12.436784,1319739.6301016123,33.92519356
rxn00558,112.79751,553983.5020213136,733.002038
rxn00559,21.262074,522670.76412519696,146.4468106
rxn00566,9.8016615,751946.9880120043,46.92615565
rxn00599,1.5777104,884561.1400011374,6.420989102
rxn00604,8000.0,53858.72849000001,534732.2673120165
rxn00633,200,188758.24001288487,3814.403016
rxn00646,1116.7538,1050878.4619267294,3825.6695
rxn00650_num1,41.27819,298489.9619753237,497.8441587
