,kcat,MW,kcat_MW
rxn00011_num1,2.958553624,243699.34440527376,43.70464382
rxn00014,9.576847565,53252.71950551586,647.4157856
rxn00048,10.24278137,21839.53850163262,1688.406233
rxn00060,5.912447255,33550.18179844012,634.4171321
rxn00085_reverse,41.9,167470.6603,900.6950813341961
rxn00086_reverse,3.631747852,48833.959606274104,267.7295139
rxn00100,1.38361809,22082.600800538166,225.5633369
rxn00102,4.288479046,23323.93969674444,661.9175305
rxn00105,2.034989771,24672.472005473486,296.9286245
rxn00113_reverse,5.591843943,239172.9631905569,84.16769992
rxn00122,9.146550984,34272.87829951841,960.7475408
rxn00124,3.746529698,36737.32499588375,367.1336145
rxn00126,4.984048304,170746.1804260535,105.0833105
rxn00134,2.83681123,22082.600797178457,462.469096
rxn00137,3.033214788,29835.514703718734,365.9924538
rxn00138,6.473382787,61597.68399045025,378.3288027
rxn00141_num1,3.378597817,50846.85771058553,239.2075477
rxn00148_reverse,3204.0,51444.5492,224210.34257988987
rxn00154,2.958553624,1212474.8252504205,8.7843416
rxn00157_reverse_num1,2.958553624,172172.13078787868,61.86130704
rxn00159,14.53452304,61864.25210946663,845.7918937
rxn00168,100000,3600000.0,100000
rxn00179,2.588472292,42508.113912846915,219.2169775
rxn00187,999.0,52171.3356,68934.40542856258
rxn00189,2.878963699,54660.217201475134,189.6126625
rxn00190,6.473382787,61597.68399045025,378.3288027
rxn00192_num1,6.548617295,86263.8695897371,273.2896446
rxn00194,2.588472292,43423.761614896546,214.5944963
rxn00198,25,46347.619895844255,1941.847288
rxn00199,6.184938567,46347.61989690762,480.4082473
rxn00202,6.548617295,41256.770696277286,571.4218991
rxn00208,3.017178001,44970.61041047188,241.5319851
rxn00209,3.025559389,44970.61039901257,242.2029344
rxn00211,12.73467836,47349.79780396506,968.2162168
rxn00213,3.533087892,31704.213094559593,401.1806372
rxn00216,1492.0,34896.6157,153917.5043842432
rxn00224,6.182397304,37425.69199915896,594.6885443
rxn00231,5.535080049,31723.728299451603,628.1193682
